stop_name,route_id
ngong road,29
ngong road,3
ngong road,30A
ngong road,31
ngong road,32
ngong road,33
ngong road,33A
ngong road,34
ngong road,35
ngong road,35
ngong road,36
ngong road,36A
ngong road,4
ngong road,42
ngong road,48
ngong road,53
ngong road,56
ngong road,58
ngong road,66
ngong road,71
ngong road,83
ngong road,9
ngong road–ragati road,13
nile road,23
nkurumah avenue,15
nkurumah avenue,22
nkurumah avenue,30
nkurumah avenue,37
nkurumah avenue,38
nkurumah avenue,49A
nkurumah avenue,62
nkurumah avenue,7
nkurumah avenue,8
nkurumah avenue,86
nyasa road,23
nyayo stadium,18
nyayo stadium,25
nyayo stadium,29
nyayo stadium,37
nyayo stadium,38
nyayo stadium,69
nyayo stadium,70
nyayo stadium,72
nyayo stadium,73
nyeri road,44
nyeri road,46
ojijo road,15
ojijo road,18
ojijo road,18A
ojijo road,39
ojijo road,39A
ojijo road,40
ojijo road,62
ojijo road,7
ojijo road,76A
ojijo road,89C
old posta,10
old posta,21
old posta,34
old posta,35
old posta,39
old posta,39A
old posta,52
old posta,63
old posta,63A
old posta,68
olenguruone road,88
ole sangale avenue,55
ole shapara avenue,41
ole shapara avenue,45
ole shapara avenue,54
oloitoktok road,26
otc,27
otc,43
otc,44
othaya road,44
othaya road,46
outering road,14
outering road,19
outering road,19A
outering road,27
outering road,27A
outering road,29
outering road,30
outering road,30A
outering road,32
outering road,33
outering road,33A
outering road,41
outering road,47
outering road,51
outering road,52
outering road,55
outering road,56
outering road,58
outering road,7
outering road,74
outering road,9
pangani,24
pangani,42
pangani,5
pangani,74
parklands,15
parklands,18
parklands,18A
parklands,18A
parklands,34
parklands,39
parklands,39A
parklands,40
parklands,40
parklands,62
parklands,62
parklands,7
parklands,7
parklands,76
parklands,76A
parklands,84
parklands,85
parklands,89C
parklands,89C
park road,15
park road,24
park road,6
park road,62
park road,75
park road,77
park road,8
park road,82
park road,87
popo road,45
popo road,54
prestige mal,4
prestige mall,1
prestige mall,23
prestige mall,24
prestige mall,31
prestige mall,32
prestige mall,42
prestige mall,66
prestige mall,71
pumwani road,31
pumwani road,41
pumwani road,59
rabai road,23
rabai road,28
rabai road,31
rabai road,43
rabai road,48
race course,23
race course,24
race course,24
race course,3
race course,32
race course,33A
race course,4
race course,5
race course,52
race course,57
race course,71
ragati road,16
ragati road,3
ragati road,34
ragati road,35
ragati road,35
railway club,58
raini,85
redeemed church,22
redeemed church,65
redhill road,76
redhill road,76A
redhill road,84
redhill road,85
retail market,14
retail market,56
retail market,9
ridgeways,15
ridgeways,77
ridgeways,79
riverside drive,26
riverside drive,43
riverside drive,44
riverside drive,45
riverside drive,46
ronald ngala street,11
ronald ngala street,24
ronald ngala street,27
ronald ngala street,32
ronald ngala street,43
ronald ngala street,44
ronald ngala street,46
ronald ngala street,59
ronald ngala street,59A
roysambu,42
roysambu,88
ruai,33
ruai,33A
ruai,74
ruaka,84
ruaka,85
ruiru,19A
sameer park,65
sarit,39
sarit,39A
savanah,20
serena,1
serena,21
serena,32
serena,66
sixth parklands avenue,47
sixth parklands avenue,52
sixth parklands avenue,63
sixth parklands avenue,63A
slip road,43
slip road,59
slip road,59A
south b shopping centre,17
south b shoppng centre,63
south b shoppng centre,63A
southlands,27A
spine road,13
spine road,14
spine road,20
spine road,44
spine road,49
spine road,49A
spine road,50
st. paul church,15
st. paul church,18
st. paul church,22
st. paul church,30
st. paul church,37
st. paul church,38
st. paul church,6
st. paul church,7
st. peter clavers church,14
st. peter clavers church,2
st. peter clavers church,28
st. peter clavers church,3
st. peter clavers church,33A
st. peter clavers’church,4
